bodyparts,nose,nose
coords,x,y
0,906.6947631835940,814.4713745117190
1,1013.0751342773400,778.6868286132810
2,922.3172607421880,805.3688354492190
3,923.5609741210940,800.3091430664060
4,1045.234619140630,723.5516967773440
5,1134.4697265625,669.9337768554690
6,945.98388671875,673.5835571289060
7,1015.9848022460900,688.70849609375
8,975.6726684570310,778.5028076171880
9,776.3599853515630,623.4296264648440
10,1008.7090454101600,726.6203002929690
11,979.1097412109380,738.18798828125
12,851.8434448242190,770.7676391601560
13,937.7484130859380,766.8380737304690
14,920.7898559570310,776.1548461914060
15,890.8993530273440,789.5438842773440
16,840.203857421875,803.6424560546880
17,801.0415649414060,801.4720458984380
18,781.51904296875,802.9903564453130
19,763.7210083007810,799.2727661132810
20,750.6328735351560,798.5631103515630
21,744.0011596679690,798.263671875
22,737.27099609375,794.2575073242190
23,745.1839599609380,786.7061157226560
24,744.2349243164060,779.2095947265630
25,743.547607421875,776.5270385742190
26,745.756591796875,768.8126220703130
27,752.8343505859380,764.4578857421880
28,765.2390747070310,767.9788208007810
29,775.8348999023440,773.7380981445310
30,785.666748046875,774.6383666992190
31,789.7249145507810,770.419677734375
32,744.5602416992190,771.9357299804690
33,758.429443359375,776.60888671875
34,766.737060546875,776.4302368164060
35,786.869873046875,781.0680541992190
36,847.8741455078130,725.9044799804690
37,850.6083984375,730.1470336914060
38,861.4299926757810,720.271728515625
39,863.9378662109380,716.1611328125
40,866.63134765625,708.3312377929690
41,865.9141845703130,708.0859375
42,864.3009643554690,702.8409423828130
43,862.0220336914060,699.4852905273440
44,860.38623046875,695.5035400390630
45,860.0169677734380,694.850830078125
46,860.0078735351560,693.2899780273440
47,858.99365234375,693.933837890625
48,861.3009033203130,692.7095947265630
49,864.7818603515630,687.1701049804690
50,864.8766479492190,677.5028076171880
51,852.2991333007810,643.2019653320310
52,841.048583984375,633.2361450195310
53,823.3277587890630,614.7335815429690
54,807.5223999023440,600.3001708984380
55,783.8565063476560,591.0194091796880
56,781.4085693359380,571.2081298828130
57,769.501708984375,559.650146484375
58,769.9853515625,550.8255004882810
59,772.0270385742190,542.1246948242190
60,774.7769775390630,533.740234375
61,775.55029296875,523.8893432617190
62,788.6292114257810,517.4371948242190
63,778.4237670898440,499.57025146484400
64,773.7664794921880,486.2345886230470
65,771.0194091796880,472.8955993652340
66,770.4256591796880,460.0146789550780
67,772.4298706054690,455.41827392578100
68,778.5776977539060,451.25177001953100
69,786.5659790039060,445.181640625
70,783.4012451171880,437.22564697265600
71,783.0306396484380,429.6640930175780
72,780.4905395507810,418.4275207519530
73,776.7843627929690,414.244140625
74,777.8740844726560,413.088134765625
75,781.20361328125,409.9672546386720
76,785.9886474609380,406.49383544921900
77,792.5343627929690,399.2456970214840
78,794.2734985351560,392.2652282714840
79,800.2794189453130,384.2491760253910
80,802.4833984375,380.101318359375
81,806.652587890625,374.5113220214840
82,809.458251953125,370.92333984375
83,814.9769897460940,366.0182800292970
84,829.237548828125,353.7568054199220
85,830.478515625,338.7778625488280
86,832.0138549804690,326.165283203125
87,829.3985595703130,318.6916198730470
88,830.1390991210940,307.1447448730470
89,835.4962768554690,292.16326904296900
90,838.9542236328130,285.5337219238280
91,841.7993774414060,284.37030029296900
92,849.0327758789060,280.82720947265600
93,851.7835693359380,276.88226318359400
94,857.51171875,268.48358154296900
95,859.2155151367190,255.0521240234380
96,865.9721069335940,253.69308471679700
97,873.6185302734380,245.07281494140600
98,872.4854125976560,236.6433563232420
99,873.0725708007810,218.99014282226600
100,871.0233764648440,208.65390014648400
101,871.2857666015630,209.2584228515630
102,871.1870727539060,211.1681365966800
103,873.8717041015630,212.8896942138670
104,888.0049438476560,214.180908203125
105,889.0866088867190,217.34962463378900
106,899.8468017578130,228.7881622314450
107,908.5579833984380,232.8726348876950
108,911.38916015625,235.01202392578100
109,916.2732543945310,238.23721313476600
110,922.7227783203130,234.90740966796900
111,931.4497680664060,234.74356079101600
112,936.3054809570310,234.11056518554700
113,939.5155029296880,238.5766143798830
114,939.7357177734380,239.37945556640600
115,938.5140991210940,239.42918395996100
116,940.2557373046880,238.52047729492200
117,940.6362915039060,238.4464874267580
118,940.6267700195310,237.47509765625
119,942.0577392578130,235.8086395263670
120,943.5380249023440,236.44580078125
121,944.4552001953130,235.7873077392580
122,944.5473022460940,234.08876037597700
123,944.5726318359380,234.29380798339800
124,944.2822875976560,234.21176147460900
125,941.6203002929690,232.0446014404300
126,939.2965698242190,229.94515991210900
127,932.8526000976560,224.61744689941400
128,899.7918090820310,233.00576782226600
129,864.874267578125,233.59681701660200
130,841.4419555664060,226.8893280029300
131,835.17041015625,220.8080596923830
132,820.4883422851560,220.8098907470700
133,807.12744140625,214.13800048828100
134,796.6624755859380,210.3951416015630
135,799.4427490234380,218.63116455078100
136,786.6223754882810,222.30274963378900
137,778.7857055664060,226.7444610595700
138,770.6236572265630,220.29248046875
139,760.8363037109380,216.3823699951170
140,756.2081298828130,216.54534912109400
141,763.449462890625,211.62991333007800
142,737.5724487304690,206.6085662841800
143,732.6488647460940,206.18360900878900
144,725.4407348632810,205.2477569580080
145,721.0454711914060,194.89625549316400
146,710.8361206054690,198.31521606445300
147,690.0531005859380,196.0349884033200
148,675.9862670898440,192.01687622070300
149,666.6165771484380,189.8702850341800
150,658.1338500976560,187.60202026367200
151,650.0977783203130,189.26943969726600
152,641.2731323242190,193.0402069091800
153,632.8634033203130,196.47280883789100
154,630.4658813476560,202.6968231201170
155,628.0380249023440,208.42449951171900
156,625.1635131835940,210.3953857421880
157,626.2852783203130,211.39112854003900
158,630.6581420898440,211.96835327148400
159,623.0120239257810,215.363037109375
160,614.4295654296880,216.26437377929700
161,595.9520263671880,235.26101684570300
162,585.2512817382810,238.94015502929700
163,572.68798828125,246.2692108154300
164,561.0945434570310,253.40675354003900
165,554.236083984375,261.268798828125
166,550.4169921875,277.96124267578100
167,551.0863647460940,278.4316711425780
168,547.866943359375,279.5848388671880
169,540.7639770507810,277.3272705078130
170,529.6300659179690,279.8019714355470
171,520.3975830078130,289.8653259277340
172,510.82525634765600,292.8807067871090
173,496.2382507324220,302.328369140625
174,485.3994140625,301.67620849609400
175,472.62030029296900,298.501708984375
176,454.93402099609400,299.02020263671900
177,440.8805236816410,302.66552734375
178,426.9421691894530,308.9979248046880
179,418.99951171875,319.8638000488280
180,411.34027099609400,319.93194580078100
181,404.9925842285160,328.556396484375
182,401.73492431640600,331.6138916015630
183,396.84796142578100,365.23248291015600
184,393.8363342285160,364.1200866699220
185,377.5359802246090,356.8480529785160
186,360.75372314453100,347.3108215332030
187,351.6484680175780,352.37237548828100
188,344.5863037109380,358.9241027832030
189,337.1988830566410,355.67791748046900
190,320.1499938964840,341.8448486328130
191,314.7428894042970,339.8576354980470
192,314.9747009277340,342.6103820800780
193,314.0598449707030,340.7957458496090
194,316.5290222167970,344.72344970703100
195,316.9023742675780,344.38433837890600
196,318.2378234863280,342.0785217285160
197,317.07318115234400,341.37335205078100
198,316.9359436035160,340.42364501953100
199,311.7950744628910,336.62957763671900
200,313.1308288574220,336.0356140136720
201,311.6197814941410,337.3878479003910
202,311.8048400878910,337.6043395996090
203,311.93804931640600,338.54132080078100
204,318.3884582519530,340.6790466308590
205,318.4599914550780,341.1239929199220
206,319.0507507324220,341.0019836425780
207,325.74676513671900,363.4548645019530
208,325.18798828125,356.35321044921900
209,322.95477294921900,339.2821044921880
210,324.6671142578130,336.4964294433590
211,343.7108459472660,348.5137634277340
212,349.62713623046900,343.32427978515600
213,389.78271484375,406.9714660644530
214,397.479248046875,407.97540283203100
215,397.5224609375,406.45849609375
216,396.1429443359380,411.4421691894530
217,397.4415588378910,410.5028991699220
218,361.5001220703130,380.2417297363280
219,354.6469421386720,382.02789306640600
220,356.97808837890600,400.17047119140600
221,358.43359375,407.4842834472660
222,373.48480224609400,423.5490417480470
223,377.3336181640630,423.97930908203100
224,382.7934265136720,427.7829284667970
225,376.7295227050780,429.2425842285160
226,367.92462158203100,430.6663818359380
227,350.3963928222660,429.3722839355470
228,344.7813415527340,436.8272705078130
229,342.6457214355470,437.47930908203100
230,342.8093566894530,433.2786865234380
231,341.95416259765600,424.5250549316410
232,341.5543212890630,421.6851806640630
233,344.4914245605470,419.864501953125
234,344.5024719238280,419.9326171875
235,341.44415283203100,420.78924560546900
236,341.11968994140600,420.96636962890600
237,339.61334228515600,419.96832275390600
238,388.330810546875,430.1495361328130
239,523.8780517578130,362.466064453125
240,525.521484375,360.40704345703100
241,525.3568725585940,359.912353515625
242,340.49578857421900,445.49761962890600
243,329.952392578125,448.8401794433590
244,330.1182861328130,455.61065673828100
245,325.04345703125,470.14630126953100
246,324.7167053222660,478.8544921875
247,322.5663146972660,484.8479919433590
248,311.1853942871090,484.8597412109380
249,308.70037841796900,495.4057922363280
