scorer,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000
bodyparts,nose,nose,nose,left ear,left ear,left ear,right ear,right ear,right ear,ear center,ear center,ear center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,395.2371826171875,185.4447479248047,0.9532074928283691,335.1453552246094,239.22291564941406,0.9703584313392639,391.04376220703125,233.00132751464844,0.9912472367286682,364.0888671875,237.9164581298828,0.9986041188240051
1,394.8671875,185.68588256835938,0.961148738861084,335.117919921875,239.7777099609375,0.9700212478637695,391.08251953125,233.39239501953125,0.9922949075698853,364.09320068359375,238.5430145263672,0.9988824725151062
2,394.61181640625,186.0907440185547,0.964771032333374,335.16766357421875,240.27296447753906,0.9729443192481995,391.10101318359375,233.94337463378906,0.9938807487487793,364.1900634765625,239.12548828125,0.9991732239723206
3,393.6488952636719,185.0410614013672,0.9338205456733704,334.34588623046875,237.16128540039062,0.9400885105133057,389.3797912597656,231.7128448486328,0.9942319989204407,361.5730895996094,238.04208374023438,0.9953358769416809
4,390.0931701660156,184.4203643798828,0.9078865051269531,332.5414123535156,235.3848876953125,0.9485502243041992,388.58233642578125,230.2736358642578,0.9975135326385498,362.0386657714844,234.4526824951172,0.9953244924545288
5,398.3599853515625,183.10809326171875,0.9102275371551514,332.70440673828125,236.57693481445312,0.9370590448379517,387.7715759277344,231.1194610595703,0.9960541725158691,361.7713928222656,235.64169311523438,0.9957298636436462
6,399.0775451660156,186.7499237060547,0.9846752285957336,334.30523681640625,239.3526611328125,0.9087041616439819,386.53021240234375,235.2646942138672,0.9966714382171631,360.59613037109375,238.32656860351562,0.9872446656227112
7,390.945556640625,190.24261474609375,0.9784857034683228,336.97052001953125,237.4241180419922,0.6183905601501465,388.9602966308594,238.83737182617188,0.9950413107872009,365.4558410644531,240.78053283691406,0.9957697987556458
8,381.3688049316406,190.74407958984375,0.9652559757232666,340.2110595703125,240.0512237548828,0.9299020171165466,392.4791259765625,241.7279510498047,0.9962206482887268,368.9774169921875,242.87738037109375,0.9989951252937317
9,388.34210205078125,190.18910217285156,0.9883838891983032,342.0298767089844,244.47933959960938,0.9268399477005005,395.398681640625,246.53378295898438,0.9930302500724792,371.22747802734375,246.6084442138672,0.9994392991065979
10,383.9582214355469,188.2379913330078,0.9933754801750183,342.9862976074219,249.35589599609375,0.973783552646637,399.08123779296875,252.06643676757812,0.9904835224151611,372.32928466796875,252.1444549560547,0.9992972612380981
11,382.37188720703125,187.77943420410156,0.9931161999702454,343.0755920410156,251.5640869140625,0.9709346294403076,399.04241943359375,252.7628173828125,0.9902925491333008,372.5655822753906,252.94444274902344,0.9995032548904419
12,382.04913330078125,185.7841339111328,0.9854090809822083,344.5724792480469,252.78924560546875,0.9776596426963806,398.5102844238281,253.64846801757812,0.9886566400527954,372.58453369140625,253.79412841796875,0.9995434880256653
13,379.4285888671875,186.35678100585938,0.9768506288528442,343.8993835449219,252.4576416015625,0.9691940546035767,400.9366455078125,252.88824462890625,0.9883721470832825,372.5904235839844,253.11581420898438,0.9996159076690674
14,376.18621826171875,182.22650146484375,0.903798520565033,343.5834655761719,252.5294189453125,0.963678240776062,403.22918701171875,251.5859832763672,0.9919392466545105,372.8518371582031,252.36878967285156,0.9995926022529602
15,375.43682861328125,173.36581420898438,0.4064951539039612,342.4503173828125,254.6123046875,0.9200594425201416,402.2349548339844,247.6168212890625,0.9808405041694641,370.92144775390625,250.0287628173828,0.9968169331550598
16,367.80712890625,169.85592651367188,0.06076357513666153,340.1767883300781,255.76182556152344,0.3069346249103546,400.8367614746094,248.76724243164062,0.8255645036697388,369.55950927734375,252.05445861816406,0.8239220976829529
17,341.8047180175781,237.76332092285156,0.02908448874950409,338.5550537109375,255.70758056640625,0.3823082745075226,400.5489196777344,245.74708557128906,0.8775378465652466,368.9947509765625,250.81886291503906,0.8530164361000061
18,355.4625549316406,160.72048950195312,0.07442843168973923,336.7464294433594,255.4013671875,0.46104657649993896,397.5633850097656,244.27000427246094,0.9029884338378906,369.037109375,251.53993225097656,0.7858166098594666
19,332.4248352050781,235.02236938476562,0.08319897949695587,331.6515808105469,247.91012573242188,0.6790568828582764,397.8707275390625,239.49415588378906,0.9815975427627563,364.2497863769531,245.71511840820312,0.9942266941070557
20,322.525146484375,178.9652557373047,0.4062599539756775,328.09661865234375,248.87814331054688,0.9083729386329651,396.8092956542969,238.1186065673828,0.9679410457611084,363.16156005859375,244.51495361328125,0.9993682503700256
21,322.5934143066406,178.6289520263672,0.28077220916748047,326.76129150390625,247.70657348632812,0.9361415505409241,396.8558654785156,237.82994079589844,0.9788582921028137,362.8169250488281,243.73593139648438,0.9995410442352295
22,353.86712646484375,147.655517578125,0.1298811137676239,327.3114013671875,246.66677856445312,0.9472874999046326,397.23779296875,237.1084442138672,0.972170889377594,363.32318115234375,242.8774871826172,0.9995717406272888
23,316.358154296875,171.2397003173828,0.029589872807264328,328.1177673339844,246.3091583251953,0.9531914591789246,396.8039855957031,235.82275390625,0.9619916677474976,362.2803039550781,241.01649475097656,0.9992172718048096
24,321.39471435546875,177.0594940185547,0.02147994562983513,329.6070861816406,245.04843139648438,0.9497252702713013,395.1319885253906,233.35911560058594,0.967913031578064,360.67169189453125,239.1661834716797,0.9969778060913086
25,345.3238525390625,138.9557647705078,0.05514063686132431,327.6846923828125,243.75143432617188,0.9418028593063354,394.9697265625,231.4467315673828,0.9594311714172363,360.96142578125,236.55186462402344,0.9979246854782104
26,342.7320251464844,140.03965759277344,0.30019429326057434,327.46954345703125,245.36468505859375,0.9070606827735901,396.2037658691406,233.33877563476562,0.9451558589935303,361.1729736328125,238.92958068847656,0.9981942772865295
27,350.15460205078125,144.36231994628906,0.08683408051729202,327.7391052246094,247.3996124267578,0.8900535702705383,397.8630065917969,235.84791564941406,0.9462440013885498,362.02044677734375,241.4869842529297,0.9992272853851318
28,357.1471862792969,148.60855102539062,0.34513193368911743,328.273193359375,248.99365234375,0.863709568977356,400.2167053222656,239.58001708984375,0.9362109899520874,365.26806640625,245.2047882080078,0.9993634819984436
29,384.90509033203125,187.79136657714844,0.9412544369697571,330.3455810546875,262.99102783203125,0.9829946756362915,404.7828674316406,253.2974090576172,0.9873456358909607,369.8772888183594,259.63616943359375,0.999508261680603
30,370.8912048339844,194.09524536132812,0.8127166628837585,340.027587890625,282.9168395996094,0.9894369840621948,406.38812255859375,269.7391052246094,0.9814299941062927,374.2220458984375,276.85089111328125,0.9995498061180115
31,370.00299072265625,219.14918518066406,0.9948141574859619,340.02899169921875,299.87652587890625,0.991075873374939,402.25177001953125,287.6329040527344,0.9912353754043579,373.8700866699219,294.71136474609375,0.9994774460792542
32,386.29693603515625,237.0967559814453,0.9370967745780945,344.9931640625,308.9869384765625,0.9971764087677002,405.3212890625,300.7592468261719,0.994401752948761,377.6728820800781,304.0058898925781,0.9993218183517456
33,399.9525451660156,243.33688354492188,0.999723494052887,348.1081848144531,294.68646240234375,0.9765094518661499,403.7832946777344,300.5557556152344,0.998591959476471,378.5472106933594,298.38812255859375,0.9972355961799622
34,417.77001953125,267.78564453125,0.9946598410606384,356.25640869140625,289.4045104980469,0.9910383224487305,408.4122619628906,303.72509765625,0.9986785054206848,383.71734619140625,299.1574401855469,0.9981510043144226
35,420.1634521484375,270.0390319824219,0.9763476252555847,360.214111328125,295.6409606933594,0.983794629573822,411.5018615722656,304.662109375,0.9989472031593323,386.5558776855469,301.66851806640625,0.9995506405830383
36,414.6426696777344,264.0881042480469,0.9941322207450867,360.0887145996094,292.5032653808594,0.9935758709907532,413.13543701171875,302.6173095703125,0.9986131191253662,386.7958068847656,300.02923583984375,0.9996459484100342
37,413.4947204589844,259.7171630859375,0.998619556427002,360.39044189453125,287.9461669921875,0.9893364906311035,411.5606994628906,298.9269714355469,0.9977889060974121,386.58984375,295.3525695800781,0.9995410442352295
38,410.03485107421875,257.4330749511719,0.9977424144744873,359.57879638671875,284.5196838378906,0.9692078232765198,410.7470703125,295.47540283203125,0.9989451766014099,386.9349365234375,292.1423645019531,0.9998621940612793
39,407.9906005859375,250.96681213378906,0.9874208569526672,357.70025634765625,280.3983459472656,0.9792256355285645,409.8658447265625,288.8880615234375,0.9992048144340515,387.2548828125,286.14935302734375,0.9996989965438843
40,405.6778564453125,240.1864471435547,0.9978083968162537,356.9431457519531,276.3662414550781,0.9914786219596863,411.7917785644531,282.9715270996094,0.9974063038825989,384.6595764160156,280.4247741699219,0.9996700286865234
41,407.9498596191406,229.26861572265625,0.9960596561431885,356.362060546875,268.1336669921875,0.970937967300415,409.6213073730469,269.7640380859375,0.9983206391334534,384.83056640625,270.4405212402344,0.9995375871658325
42,398.09381103515625,213.32131958007812,0.997223973274231,357.0902404785156,254.4833526611328,0.9904041290283203,410.26715087890625,256.58447265625,0.9993436932563782,386.3851623535156,257.65948486328125,0.9998218417167664
43,391.6146240234375,202.8173065185547,0.9976786971092224,357.7542419433594,247.33229064941406,0.9900903701782227,410.265869140625,250.61508178710938,0.9977930784225464,386.608642578125,249.55613708496094,0.9991699457168579
44,383.4345703125,195.4077606201172,0.9986615180969238,355.8330078125,244.7847137451172,0.991365909576416,408.4853820800781,241.22866821289062,0.9991100430488586,384.1915588378906,244.40328979492188,0.9996428489685059
45,389.9147033691406,192.56996154785156,0.9924806356430054,355.683837890625,240.0128631591797,0.9956445693969727,407.9805603027344,237.94435119628906,0.9965027570724487,383.68853759765625,241.3030548095703,0.9996461868286133
